phase,batter,runs,balls,sixes,fours,sr,bpct
Middle,STR Binny,465,395,16,37,117.72151898734178,13.41772151898734
Middle,TM Dilshan,463,448,7,45,103.34821428571428,11.607142857142858
Middle,Shakib Al Hasan,429,366,10,39,117.21311475409837,13.387978142076504
Middle,P Simran Singh,422,270,28,28,156.29629629629628,20.74074074074074
Middle,A Badoni,419,335,14,31,125.07462686567163,13.432835820895523
Middle,ML Hayden,411,293,19,31,140.2730375426621,17.064846416382252
Middle,IK Pathan,395,437,10,16,90.38901601830663,5.949656750572083
Middle,SM Curran,389,348,10,27,111.7816091954023,10.632183908045976
Middle,TM Head,373,247,18,28,151.01214574898785,18.62348178137652
Middle,HH Gibbs,367,344,12,24,106.6860465116279,10.465116279069768
Middle,TL Suman,347,286,14,23,121.32867132867133,12.937062937062937
Middle,Nithish Kumar Reddy,334,248,15,23,134.6774193548387,15.32258064516129
Middle,M Vohra,330,261,12,24,126.4367816091954,13.793103448275861
Middle,C Green,323,245,17,17,131.83673469387756,13.877551020408163
Middle,D Brevis,321,207,25,16,155.07246376811594,19.806763285024154
Middle,JA Morkel,320,266,16,20,120.30075187969925,13.533834586466165
Middle,Shashank Singh,319,251,15,20,127.09163346613546,13.94422310756972
Middle,M Shahrukh Khan,318,238,23,18,133.61344537815125,17.22689075630252
Middle,R Tewatia,312,329,6,23,94.83282674772036,8.814589665653495
Middle,CJ Anderson,311,256,14,25,121.484375,15.234375
Middle,A Raghuvanshi,303,215,8,29,140.93023255813955,17.209302325581397
Middle,PD Salt,298,167,17,27,178.4431137724551,26.34730538922156
Middle,AM Nayar,297,307,7,17,96.74267100977198,7.81758957654723
Middle,AL Menaria,296,268,14,15,110.44776119402985,10.820895522388058
Middle,GC Smith,291,239,8,24,121.75732217573221,13.389121338912133
Middle,AD Mathews,289,282,9,14,102.4822695035461,8.156028368794328
Middle,Abishek Porel,287,200,12,20,143.5,16.0
Middle,R Ashwin,279,276,8,16,101.08695652173914,8.695652173913043
Middle,T Stubbs,278,240,11,12,115.83333333333334,9.583333333333334
Middle,Abdul Samad,271,213,14,19,127.2300469483568,15.492957746478872
Middle,MS Bisla,268,234,10,15,114.52991452991452,10.683760683760683
Middle,Dhruv Jurel,265,209,13,21,126.79425837320575,16.267942583732058
Middle,MK Lomror,265,192,18,10,138.02083333333331,14.583333333333334
Middle,Shahbaz Ahmed,260,242,8,14,107.43801652892562,9.090909090909092
Middle,SW Billings,254,218,11,14,116.51376146788989,11.46788990825688
Middle,ST Jayasuriya,253,165,12,23,153.33333333333334,21.21212121212121
Middle,RR Rossouw,250,168,16,16,148.80952380952382,19.047619047619047
Middle,Azhar Mahmood,243,188,7,23,129.25531914893617,15.957446808510639
Middle,WG Jacks,238,168,14,17,141.66666666666669,18.452380952380953
Middle,Gurkeerat Singh,225,223,0,24,100.89686098654708,10.762331838565023
Middle,M Manhas,224,232,2,19,96.55172413793103,9.051724137931034
Middle,RS Bopara,222,205,3,17,108.29268292682927,9.75609756097561
Middle,SN Khan,218,212,3,20,102.8301886792453,10.849056603773585
Middle,OA Shah,213,199,8,13,107.03517587939699,10.552763819095476
Middle,DJ Mitchell,208,151,8,14,137.74834437086093,14.56953642384106
Middle,GJ Bailey,205,229,2,12,89.51965065502183,6.11353711790393
Middle,J Botha,204,183,1,18,111.47540983606557,10.382513661202186
Middle,E Lewis,202,170,13,10,118.82352941176471,13.529411764705882
Middle,Washington Sundar,197,183,4,16,107.65027322404373,10.92896174863388
Middle,SE Rutherford,196,144,12,13,136.11111111111111,17.36111111111111
Middle,HM Amla,194,156,5,14,124.35897435897436,12.179487179487179
Middle,JJ Roy,193,130,8,16,148.46153846153845,18.461538461538463
Middle,PBB Rajapaksa,193,134,10,14,144.02985074626866,17.91044776119403
Middle,JR Hopes,187,127,4,23,147.24409448818898,21.25984251968504
Middle,LR Shukla,184,181,7,14,101.65745856353593,11.602209944751381
Middle,M Kaif,183,167,5,14,109.5808383233533,11.377245508982035
Middle,Lalit Yadav,180,177,4,14,101.69491525423729,10.16949152542373
Middle,TH David,180,143,9,11,125.87412587412588,13.986013986013987
Middle,PJ Cummins,161,130,8,15,123.84615384615385,17.692307692307693
Middle,Priyansh Arya,161,81,14,10,198.76543209876542,29.629629629629626
Middle,PK Garg,157,150,4,7,104.66666666666666,7.333333333333333
Middle,PP Chawla,156,177,5,10,88.13559322033898,8.47457627118644
Middle,DB Ravi Teja,153,137,3,13,111.67883211678833,11.678832116788321
Middle,DJG Sammy,151,140,8,6,107.85714285714285,10.0
Middle,JEC Franklin,151,140,7,4,107.85714285714285,7.857142857142857
Middle,UBT Chand,150,139,3,14,107.91366906474819,12.23021582733813
Middle,DT Christian,147,166,4,6,88.55421686746988,6.024096385542169
Middle,PC Valthaty,147,118,9,9,124.57627118644068,15.254237288135593
Middle,Sameer Rizvi,147,113,6,11,130.08849557522123,15.04424778761062
Middle,Harbhajan Singh,146,139,6,14,105.03597122302158,14.388489208633093
Middle,Aniket Verma,145,89,13,7,162.92134831460675,22.47191011235955
Middle,GH Vihari,145,161,1,10,90.06211180124224,6.832298136645963
Middle,SA Asnodkar,145,129,1,18,112.40310077519379,14.728682170542637
Middle,RD Rickelton,143,90,10,10,158.88888888888889,22.22222222222222
Middle,C de Grandhomme,142,110,7,12,129.0909090909091,17.272727272727273
Middle,MV Boucher,137,138,2,11,99.27536231884058,9.420289855072465
Middle,NLTC Perera,137,117,8,6,117.0940170940171,11.965811965811966
Middle,A Manohar,132,123,4,12,107.31707317073172,13.008130081300814
Middle,LA Pomersbach,131,117,6,9,111.96581196581197,12.82051282051282
Middle,R Powell,131,128,8,6,102.34375,10.9375
Middle,DB Das,129,111,11,5,116.21621621621621,14.414414414414415
Middle,CA Ingram,128,119,3,13,107.56302521008404,13.445378151260504
Middle,CA Pujara,128,121,1,12,105.78512396694215,10.743801652892563
Middle,MN Samuels,127,130,6,7,97.6923076923077,10.0
Middle,Sikandar Raza,127,93,6,9,136.55913978494624,16.129032258064516
Middle,B Chipli,125,119,3,10,105.0420168067227,10.92436974789916
Middle,AA Jhunjhunwala,124,125,2,9,99.2,8.799999999999999
Middle,JP Inglis,122,76,6,10,160.5263157894737,21.052631578947366
Middle,Ashutosh Sharma,121,93,9,5,130.10752688172042,15.053763440860216
Middle,A Mishra,120,164,0,8,73.17073170731707,4.878048780487805
Middle,JD Ryder,119,104,3,9,114.42307692307692,11.538461538461538
Middle,BJ Rohrer,114,105,0,14,108.57142857142857,13.333333333333334
Middle,Rahmanullah Gurbaz,111,73,7,8,152.05479452054794,20.54794520547945
Middle,R Ravindra,110,77,6,4,142.85714285714286,12.987012987012985
Middle,RN ten Doeschate,108,88,4,8,122.72727272727273,13.636363636363635
Middle,R Sathish,105,105,2,7,100.0,8.571428571428571
Middle,SN Thakur,105,77,4,9,136.36363636363635,16.883116883116884
Middle,P Negi,104,101,5,7,102.97029702970298,11.881188118811881
Middle,SP Goswami,104,106,1,10,98.11320754716981,10.377358490566039
Middle,Y Nagar,104,129,1,5,80.62015503875969,4.651162790697675
Middle,Atharva Taide,103,74,2,10,139.1891891891892,16.216216216216218
Middle,CH Morris,102,93,5,8,109.6774193548387,13.978494623655912
Middle,KS Bharat,102,85,4,5,120.0,10.588235294117647
Middle,Ramandeep Singh,98,80,6,4,122.50000000000001,12.5
Middle,KV Sharma,97,105,2,6,92.38095238095238,7.6190476190476195
Middle,PD Collingwood,96,92,4,4,104.34782608695652,8.695652173913043
Middle,SS Prabhudessai,94,73,2,9,128.76712328767124,15.068493150684931
Middle,Anuj Rawat,93,98,2,6,94.89795918367348,8.16326530612245
Middle,VVS Laxman,92,73,1,9,126.02739726027397,13.698630136986301
Middle,R Bhatia,91,112,2,4,81.25,5.357142857142857
Middle,AC Voges,89,78,0,8,114.1025641025641,10.256410256410255
Middle,MC Juneja,88,94,0,7,93.61702127659575,7.446808510638298
Middle,N Jagadeesan,87,73,1,11,119.17808219178083,16.43835616438356
Middle,S Sohal,85,63,3,8,134.92063492063494,17.46031746031746
Middle,SB Styris,83,93,1,7,89.24731182795699,8.60215053763441
Middle,Rashid Khan,82,63,5,4,130.15873015873015,14.285714285714285
Middle,MD Mishra,80,64,3,6,125.0,14.0625
Middle,R McLaren,78,95,0,6,82.10526315789474,6.315789473684211
Middle,SM Katich,75,61,2,7,122.95081967213115,14.754098360655737
Middle,JP Faulkner,74,86,2,4,86.04651162790698,6.976744186046512
Middle,DH Yagnik,73,60,1,11,121.66666666666666,20.0
Middle,MS Wade,70,79,0,4,88.60759493670885,5.063291139240507
Middle,FY Fazal,69,62,1,6,111.29032258064515,11.29032258064516
Middle,MN van Wyk,69,63,0,6,109.52380952380953,9.523809523809524
Middle,BB Samantray,68,62,2,5,109.6774193548387,11.29032258064516
Middle,HV Patel,67,76,4,3,88.1578947368421,9.210526315789473
Middle,SM Pollock,66,63,3,4,104.76190476190477,11.11111111111111
Middle,SK Warne,61,82,2,4,74.39024390243902,7.317073170731707
Middle,CJ Ferguson,58,70,0,4,82.85714285714286,5.714285714285714
Middle,AD Nath,57,62,1,4,91.93548387096774,8.064516129032258
Middle,P Dogra,54,76,2,1,71.05263157894737,3.9473684210526314
Middle,K Rabada,53,62,1,5,85.48387096774194,9.67741935483871
Middle,S Gopal,45,61,0,4,73.77049180327869,6.557377049180328
Powerplay,S Dhawan,3399,2771,76,452,122.66329844821364,19.054492962829304
Powerplay,DA Warner,3302,2389,104,430,138.2168271243198,22.352448723315195
Powerplay,V Kohli,3143,2488,77,392,126.32636655948552,18.85048231511254
Powerplay,AM Rahane,2600,2111,67,333,123.16437707247749,18.948365703458077
Powerplay,RG Sharma,2422,1928,113,267,125.62240663900414,19.70954356846473
Powerplay,CH Gayle,2390,1766,144,266,135.33408833522086,23.2163080407701
Powerplay,F du Plessis,2276,1670,81,281,136.2874251497006,21.676646706586826
Powerplay,G Gambhir,2264,1862,33,309,121.58968850698173,18.367346938775512
Powerplay,KL Rahul,2196,1730,82,242,126.9364161849711,18.728323699421964
Powerplay,RV Uthappa,2032,1632,50,260,124.50980392156863,18.995098039215684
Powerplay,Q de Kock,1929,1476,82,211,130.6910569105691,19.850948509485093
Powerplay,PA Patel,1900,1561,31,282,121.71684817424729,20.05124919923126
Powerplay,Shubman Gill,1733,1320,39,222,131.2878787878788,19.772727272727273
Powerplay,JC Buttler,1694,1210,70,213,140.0,23.388429752066113
Powerplay,V Sehwag,1586,1096,46,229,144.7080291970803,25.09124087591241
Powerplay,M Vijay,1574,1374,46,176,114.55604075691413,16.157205240174672
Powerplay,SK Raina,1551,1165,55,196,133.13304721030045,21.545064377682404
Powerplay,BB McCullum,1547,1217,69,183,127.11585866885784,20.706655710764174
Powerplay,SR Watson,1419,1257,54,172,112.88782816229117,17.979315831344472
Powerplay,MA Agarwal,1402,1150,42,167,121.91304347826086,18.173913043478258
Powerplay,SV Samson,1386,1119,44,174,123.86058981233244,19.481680071492406
Powerplay,WP Saha,1385,1045,41,190,132.5358851674641,22.105263157894736
Powerplay,YBK Jaiswal,1383,884,57,195,156.44796380090497,28.50678733031674
Powerplay,AC Gilchrist,1372,1026,49,188,133.7231968810916,23.099415204678362
Powerplay,Ishan Kishan,1357,1008,53,170,134.62301587301587,22.123015873015873
Powerplay,PP Shaw,1345,917,37,193,146.67393675027262,25.081788440567067
Powerplay,DR Smith,1209,970,47,154,124.63917525773196,20.721649484536083
Powerplay,RD Gaikwad,1200,940,37,141,127.65957446808511,18.93617021276596
Powerplay,SP Narine,1148,671,70,141,171.08792846497764,31.445603576751118
Powerplay,SR Tendulkar,1140,977,10,175,116.68372569089047,18.93551688843398
Powerplay,MK Pandey,1131,990,23,148,114.24242424242424,17.272727272727273
Powerplay,Abhishek Sharma,1051,651,50,127,161.44393241167435,27.188940092165897
Powerplay,JH Kallis,1030,975,15,149,105.64102564102565,16.82051282051282
Powerplay,RA Tripathi,995,721,36,125,138.00277392510404,22.330097087378643
Powerplay,SS Iyer,973,867,23,122,112.22606689734718,16.724336793540946
Powerplay,JM Bairstow,944,623,39,120,151.52487961476726,25.52166934189406
Powerplay,SA Yadav,936,668,31,128,140.1197604790419,23.802395209580837
Powerplay,R Dravid,905,829,7,148,109.16767189384802,18.69722557297949
Powerplay,AJ Finch,903,790,24,120,114.30379746835445,18.227848101265824
Powerplay,P Simran Singh,885,595,41,107,148.73949579831933,24.873949579831933
Powerplay,D Padikkal,869,681,25,113,127.6064610866373,20.26431718061674
Powerplay,MEK Hussey,828,766,16,105,108.0939947780679,15.796344647519584
Powerplay,CA Lynn,773,537,37,98,143.94785847299815,25.139664804469277
Powerplay,AT Rayudu,772,728,24,92,106.04395604395604,15.934065934065933
Powerplay,SE Marsh,771,733,8,116,105.18417462482947,16.916780354706685
Powerplay,N Rana,745,612,31,95,121.73202614379083,20.588235294117645
Powerplay,AB de Villiers,741,614,20,100,120.6840390879479,19.54397394136808
Powerplay,PD Salt,726,416,37,92,174.51923076923077,31.009615384615387
Powerplay,TM Head,725,395,35,99,183.54430379746836,33.92405063291139
Powerplay,M Vohra,691,540,27,73,127.96296296296296,18.51851851851852
Powerplay,B Sai Sudharsan,682,499,15,88,136.67334669338678,20.64128256513026
Powerplay,Mandeep Singh,633,552,8,94,114.67391304347827,18.478260869565215
Powerplay,DPMD Jayawardene,611,501,13,93,121.9560878243513,21.157684630738522
Powerplay,KK Nair,609,474,16,86,128.48101265822785,21.518987341772153
Powerplay,VR Iyer,596,457,25,70,130.41575492341357,20.787746170678336
Powerplay,ML Hayden,593,457,20,80,129.75929978118162,21.88183807439825
Powerplay,LMP Simmons,542,456,19,67,118.85964912280701,18.859649122807017
Powerplay,MR Marsh,538,365,33,51,147.3972602739726,23.013698630136986
Powerplay,SC Ganguly,529,517,9,76,102.32108317214701,16.44100580270793
Powerplay,KC Sangakkara,522,447,6,81,116.7785234899329,19.463087248322147
Powerplay,ST Jayasuriya,507,364,26,61,139.28571428571428,23.9010989010989
Powerplay,SPD Smith,506,414,10,66,122.22222222222223,18.357487922705314
Powerplay,NV Ojha,494,481,21,58,102.7027027027027,16.424116424116423
Powerplay,TM Dilshan,484,439,8,76,110.250569476082,19.134396355353076
Powerplay,KS Williamson,483,480,7,63,100.62500000000001,14.583333333333334
Powerplay,MS Bisla,474,433,11,70,109.46882217090071,18.706697459584294
Powerplay,DP Conway,463,367,11,61,126.15803814713897,19.618528610354225
Powerplay,HH Gibbs,447,416,16,54,107.45192307692308,16.826923076923077
Powerplay,RR Pant,447,368,12,59,121.46739130434783,19.293478260869566
Powerplay,GJ Maxwell,433,309,16,59,140.1294498381877,24.271844660194176
Powerplay,JD Ryder,432,323,13,56,133.74613003095973,21.36222910216718
Powerplay,E Lewis,420,286,21,49,146.85314685314685,24.475524475524477
Powerplay,KD Karthik,397,405,6,55,98.0246913580247,15.06172839506173
Powerplay,KP Pietersen,391,293,12,47,133.44709897610923,20.13651877133106
Powerplay,Priyansh Arya,391,225,18,50,173.7777777777778,30.22222222222222
Powerplay,JJ Roy,380,288,10,56,131.94444444444443,22.916666666666664
Powerplay,AK Markram,377,295,13,45,127.79661016949153,19.661016949152543
Powerplay,GC Smith,374,386,0,59,96.89119170984456,15.284974093264248
Powerplay,YK Pathan,360,243,16,47,148.14814814814815,25.925925925925924
Powerplay,RD Rickelton,325,206,15,41,157.76699029126212,27.184466019417474
Powerplay,Abishek Porel,316,208,12,39,151.9230769230769,24.519230769230766
Powerplay,PC Valthaty,306,274,10,44,111.67883211678833,19.708029197080293
Powerplay,MP Stoinis,296,240,8,41,123.33333333333334,20.416666666666668
Powerplay,J Fraser-McGurk,292,142,21,35,205.6338028169014,39.436619718309856
Powerplay,S Sohal,279,217,15,26,128.57142857142858,18.89400921658986
Powerplay,SA Asnodkar,278,208,9,38,133.65384615384613,22.596153846153847
Powerplay,KR Mayers,276,200,12,34,138.0,23.0
Powerplay,R Ravindra,274,198,7,35,138.3838383838384,21.21212121212121
Powerplay,HM Amla,261,199,8,33,131.15577889447238,20.603015075376884
Powerplay,Rahmanullah Gurbaz,246,194,14,26,126.8041237113402,20.618556701030926
Powerplay,BA Stokes,240,181,7,31,132.5966850828729,20.994475138121548
Powerplay,JP Duminy,235,239,6,30,98.32635983263597,15.062761506276152
Powerplay,MM Ali,233,191,12,28,121.98952879581151,20.94240837696335
Powerplay,AP Tare,226,201,7,27,112.43781094527363,16.91542288557214
Powerplay,MJ Lumb,225,151,5,37,149.0066225165563,27.81456953642384
Powerplay,MK Tiwary,223,229,5,25,97.37991266375546,13.100436681222707
Powerplay,CA Pujara,215,228,1,35,94.2982456140351,15.789473684210526
Powerplay,MJ Guptill,213,156,10,22,136.53846153846155,20.51282051282051
Powerplay,RM Patidar,206,172,4,29,119.76744186046511,19.186046511627907
Powerplay,V Suryavanshi,196,86,19,15,227.90697674418604,39.53488372093023
Powerplay,C Green,193,122,5,28,158.19672131147541,27.049180327868854
Powerplay,Yuvraj Singh,193,186,5,26,103.76344086021506,16.666666666666664
Powerplay,WG Jacks,190,128,10,20,148.4375,23.4375
Powerplay,A Raghuvanshi,185,109,9,22,169.72477064220183,28.440366972477065
Powerplay,TL Suman,185,181,6,22,102.20994475138122,15.469613259668508
Powerplay,S Badrinath,182,236,1,27,77.11864406779661,11.864406779661017
Powerplay,VVS Laxman,181,187,3,24,96.79144385026738,14.43850267379679
Powerplay,N Pooran,179,115,13,17,155.65217391304347,26.08695652173913
Powerplay,A Mhatre,177,93,7,27,190.3225806451613,36.55913978494624
Powerplay,EJG Morgan,176,192,3,24,91.66666666666666,14.0625
Powerplay,HH Pandya,168,172,1,25,97.67441860465115,15.11627906976744
Powerplay,SS Tiwary,168,159,2,23,105.66037735849056,15.723270440251572
Powerplay,JR Hopes,167,133,6,21,125.5639097744361,20.30075187969925
Powerplay,DJ Hooda,164,164,3,20,100.0,14.02439024390244
Powerplay,LS Livingstone,163,118,10,17,138.135593220339,22.88135593220339
Powerplay,SP Goswami,162,165,1,21,98.18181818181819,13.333333333333334
Powerplay,K Goel,160,161,7,13,99.37888198757764,12.422360248447205
Powerplay,Atharva Taide,157,103,6,20,152.4271844660194,25.24271844660194
Powerplay,MC Henriques,157,139,3,16,112.9496402877698,13.66906474820144
Powerplay,LRPL Taylor,155,121,7,18,128.099173553719,20.66115702479339
Powerplay,BJ Hodge,148,162,4,18,91.35802469135803,13.580246913580247
Powerplay,SM Curran,147,129,5,16,113.95348837209302,16.27906976744186
Powerplay,SM Katich,145,108,5,19,134.25925925925927,22.22222222222222
Powerplay,Tilak Varma,145,117,6,14,123.93162393162393,17.094017094017094
Powerplay,RR Rossouw,139,99,3,24,140.4040404040404,27.27272727272727
Powerplay,DJ Hussey,134,115,4,18,116.52173913043478,19.130434782608695
Powerplay,R Parag,134,96,9,14,139.58333333333331,23.958333333333336
Powerplay,C Munro,131,91,6,16,143.95604395604394,24.175824175824175
Powerplay,GJ Bailey,131,127,0,24,103.14960629921259,18.89763779527559
Powerplay,RS Bopara,130,144,3,11,90.27777777777779,9.722222222222223
Powerplay,JP Inglis,128,77,10,11,166.23376623376623,27.27272727272727
Powerplay,MD Mishra,128,123,3,17,104.06504065040652,16.260162601626014
Powerplay,V Shankar,127,130,2,16,97.6923076923077,13.846153846153847
Powerplay,SW Billings,125,97,0,20,128.8659793814433,20.618556701030926
Powerplay,DJ Bravo,123,110,5,15,111.81818181818181,18.181818181818183
Powerplay,YV Takawale,121,132,1,19,91.66666666666666,15.151515151515152
Powerplay,UBT Chand,120,142,6,13,84.50704225352112,13.380281690140844
Powerplay,Anmolpreet Singh,116,91,3,17,127.47252747252746,21.978021978021978
Powerplay,SP Fleming,116,108,2,16,107.40740740740742,16.666666666666664
Powerplay,AD Hales,113,80,6,11,141.25,21.25
Powerplay,MS Wade,113,98,2,19,115.3061224489796,21.428571428571427
Powerplay,MW Short,109,85,4,15,128.23529411764707,22.35294117647059
Powerplay,CL White,107,116,2,12,92.24137931034483,12.068965517241379
Powerplay,UT Khawaja,107,74,3,13,144.5945945945946,21.62162162162162
Powerplay,RA Jadeja,104,87,2,16,119.54022988505749,20.689655172413794
Powerplay,SN Khan,104,76,5,12,136.8421052631579,22.36842105263158
Powerplay,LA Pomersbach,103,77,4,11,133.76623376623377,19.480519480519483
Powerplay,PA Reddy,103,104,1,10,99.03846153846155,10.576923076923077
Powerplay,S Vidyut,103,76,2,16,135.5263157894737,23.684210526315788
Powerplay,Salman Butt,103,97,1,18,106.18556701030928,19.587628865979383
Powerplay,AC Blizzard,99,76,0,20,130.26315789473685,26.31578947368421
Powerplay,DA Miller,98,110,3,10,89.0909090909091,11.818181818181818
Powerplay,DJ Mitchell,97,78,2,11,124.35897435897436,16.666666666666664
Powerplay,HC Brook,96,84,2,14,114.28571428571428,19.047619047619047
Powerplay,IK Pathan,92,69,2,12,133.33333333333331,20.28985507246377
Powerplay,H Klaasen,90,63,4,9,142.85714285714286,20.634920634920633
Powerplay,D Brevis,84,70,3,11,120.0,20.0
Powerplay,Anuj Rawat,83,88,3,9,94.31818181818183,13.636363636363635
Powerplay,DJ Jacobs,83,91,4,9,91.20879120879121,14.285714285714285
Powerplay,N Saini,80,83,0,10,96.3855421686747,12.048192771084338
Powerplay,JEC Franklin,79,92,1,10,85.86956521739131,11.956521739130435
Powerplay,R Ashwin,78,72,3,11,108.33333333333333,19.444444444444446
Powerplay,SD Hope,78,60,4,9,130.0,21.666666666666668
Powerplay,KH Pandya,77,70,1,11,110.00000000000001,17.142857142857142
Powerplay,W Jaffer,77,89,1,9,86.51685393258427,11.235955056179774
Powerplay,FY Fazal,76,78,0,11,97.43589743589743,14.102564102564102
Powerplay,MJ Clarke,76,64,0,11,118.75,17.1875
Powerplay,Y Venugopal Rao,76,96,0,9,79.16666666666666,9.375
Powerplay,A Symonds,72,82,0,12,87.8048780487805,14.634146341463413
Powerplay,Nithish Kumar Reddy,72,80,3,4,90.0,8.75
Powerplay,AR Patel,71,64,1,9,110.9375,15.625
Powerplay,SK Rasheed,69,60,2,9,114.99999999999999,18.333333333333332
Powerplay,CM Gautam,68,61,4,6,111.47540983606557,16.39344262295082
Powerplay,KM Jadhav,67,80,1,12,83.75,16.25
Powerplay,SO Hetmyer,66,61,3,7,108.19672131147541,16.39344262295082
Powerplay,RJ Quiney,65,71,1,9,91.54929577464789,14.084507042253522
Powerplay,N Jagadeesan,64,61,1,10,104.91803278688525,18.0327868852459
Powerplay,AM Nayar,60,71,1,7,84.50704225352112,11.267605633802818
Powerplay,GH Vihari,59,90,0,5,65.55555555555556,5.555555555555555
Powerplay,MS Dhoni,59,72,0,10,81.94444444444444,13.88888888888889
Powerplay,DJ Harris,57,64,1,8,89.0625,14.0625
Powerplay,B Chipli,55,75,1,7,73.33333333333333,10.666666666666668
Powerplay,CJ Anderson,52,61,2,7,85.24590163934425,14.754098360655737
Powerplay,DJM Short,50,60,0,6,83.33333333333334,10.0
Powerplay,RT Ponting,45,75,1,2,60.0,4.0
